"spec","ind","subs","force"
"ak","Ak01","41gl",24.9
"ak","Ak01","41gl",25.6
"ak","Ak01","41gl",34.9
"ak","Ak01","59nyl",52.4
"ak","Ak01","59nyl",27.4
"ak","Ak01","59nyl",27
"ak","Ak01","73pc",28.2
"ak","Ak01","73pc",23.8
"ak","Ak01","73pc",13.4
"ak","Ak01","90pp",2.2
"ak","Ak01","90pp",4.9
"ak","Ak01","90pp",8.3
"ak","Ak01","83ps",39.9
"ak","Ak01","83ps",28.4
"ak","Ak01","83ps",29.3
"ak","Ak03","41gl",18.7
"ak","Ak03","59nyl",30.3
"ak","Ak03","59nyl",29.2
"ak","Ak03","59nyl",26.9
"ak","Ak03","73pc",13.1
"ak","Ak03","73pc",15
"ak","Ak03","73pc",26
"ak","Ak03","90pp",2.2
"ak","Ak03","90pp",4.1
"ak","Ak03","90pp",6.6
"ak","Ak03","90pp",10.9
"ak","Ak03","83ps",6.6
"ak","Ak03","83ps",8.1
"ak","Ak04","41gl",10.7
"ak","Ak04","41gl",23.2
"ak","Ak04","41gl",19.9
"ak","Ak04","59nyl",10.6
"ak","Ak04","73pc",5.8
"ak","Ak04","73pc",8.8
"ak","Ak04","90pp",5.1
"ak","Ak04","90pp",6.5
"ak","Ak04","90pp",8.4
"ak","Ak05","41gl",11.3
"ak","Ak05","41gl",14.6
"ak","Ak05","41gl",13.3
"ak","Ak05","59nyl",10.8
"ak","Ak05","59nyl",23.4
"ak","Ak05","59nyl",13.1
"ak","Ak05","73pc",10.9
"ak","Ak05","73pc",6.5
"ak","Ak05","73pc",9.2
"ak","Ak05","90pp",12.8
"ak","Ak05","90pp",15.6
"ak","Ak05","90pp",6.1
"ak","Ak05","90pp",11
"ak","Ak05","83ps",9.5
"ak","Ak05","83ps",8.3
"ak","Ak05","83ps",9.8
"ak","Ak08","41gl",16.8
"ak","Ak08","41gl",14.6
"ak","Ak08","41gl",11.9
"ak","Ak08","41gl",17.8
"ak","Ak08","59nyl",21.4
"ak","Ak08","59nyl",32.1
"ak","Ak08","59nyl",52.1
"ak","Ak08","73pc",23.4
"ak","Ak08","73pc",13.2
"ak","Ak08","73pc",7.9
"ak","Ak08","90pp",11.7
"ak","Ak08","90pp",11.2
"ak","Ak08","83ps",11.1
"ak","Ak08","83ps",18.3
"ak","Ak08","83ps",15.8
"ak","WPP019","41gl",24.6
"ak","WPP019","41gl",52.9
"ak","WPP019","41gl",16
"ak","WPP019","59nyl",33
"ak","WPP019","59nyl",18.4
"ak","WPP019","59nyl",16.6
"ak","WPP019","83ps",14.6
"ak","WPP019","83ps",26
"ak","WPP019","83ps",24.4
"ak","WPP019","83ps",12.9
"ak","WPP020","41gl",27.7
"ak","WPP020","41gl",24.4
"ak","WPP020","41gl",25.6
"ak","WPP020","59nyl",28.4
"ak","WPP020","59nyl",21.1
"ak","WPP020","59nyl",27.9
"ak","WPP020","73pc",16.1
"ak","WPP020","73pc",40.4
"ak","WPP020","73pc",18.5
"ak","WPP020","83ps",15.1
"ak","WPP020","83ps",7.4
"ak","WPP020","83ps",18.8
"am","Am03","41gl",9.3
"am","Am03","41gl",18.1
"am","Am03","41gl",25.5
"am","Am02","41gl",8.1
"am","Am02","41gl",6.6
"am","Am02","41gl",8.3
"am","Am02","59nyl",25.7
"am","Am02","59nyl",7.7
"am","Am02","59nyl",10.4
"am","Am02","73pc",16.9
"am","Am02","73pc",8.8
"am","Am02","73pc",8.6
"am","Am02","90pp",5.2
"am","Am02","83ps",6.1
"am","Am02","83ps",8.3
"am","Am02","83ps",11.1
"am","Am03","41gl",10.2
"am","Am03","41gl",15.2
"am","Am03","41gl",26.7
"am","Am03","59nyl",14.1
"am","Am03","59nyl",42.8
"am","Am03","59nyl",20.4
"am","Am03","73pc",9.1
"am","Am03","73pc",16.5
"am","Am03","73pc",24.3
"am","Am03","90pp",1
"am","Am03","90pp",1.9
"am","Am03","83ps",9.9
"am","Am03","83ps",8.5
"am","Am03","83ps",12.4
"am","Am04","41gl",17.9
"am","Am04","41gl",23.3
"am","Am04","41gl",11.4
"am","Am04","59nyl",23.8
"am","Am04","59nyl",23
"am","Am04","59nyl",12
"am","Am04","73pc",7.9
"am","Am04","73pc",6.2
"am","Am04","73pc",9
"am","Am04","90pp",6.1
"am","Am04","90pp",3.5
"am","Am04","90pp",11.3
"am","Am04","90pp",4.5
"am","Am04","83ps",8
"am","Am04","83ps",11.4
"am","Am04","83ps",13.3
"am","Am08","41gl",23.2
"am","Am08","41gl",33.4
"am","Am08","41gl",32.9
"am","Am08","59nyl",26.7
"am","Am08","59nyl",22.1
"am","Am08","59nyl",56.6
"am","Am08","73pc",13.8
"am","Am08","73pc",13.5
"am","Am08","73pc",14.5
"am","Am08","90pp",8.4
"am","Am08","90pp",6.5
"am","Am08","90pp",11.7
"am","Am08","83ps",6.5
"am","Am08","83ps",17.6
"am","Am08","83ps",18.2
"am","Am11","41gl",26.2
"am","Am11","41gl",41.5
"am","Am11","41gl",64.3
"am","Am11","59nyl",44.9
"am","Am11","59nyl",39.7
"am","Am11","59nyl",36.2
"am","Am11","73pc",37.3
"am","Am11","73pc",19.7
"am","Am11","73pc",26
"am","Am11","90pp",2.1
"am","Am11","83ps",12.1
"am","Am11","83ps",20.2
"am","Am11","83ps",10.7
