subs,spec,ind,area,length,width,frontshift,centrality,relwid
e_PS,ak,WPP019,0.603,0.647,1.172,0.226,0.349304482,1.811437403
e_PS,ak,WPP019,0.773,0.79,1.109,0.327,0.413924051,1.403797468
e_PS,ak,WPP019,0.45,0.547,1,0.206,0.376599634,1.828153565
e_PS,ak,WPP020,0.584,0.688,1.063,0.166,0.241,1.545
e_PS,ak,WPP020,0.861,0.909,1.192,0.276,0.304,1.311
e_PS,ak,WPP020,0.734,0.848,1.252,0.295,0.348,1.476
e_PS,ak,Ak03,0.914,0.936,1.239,0.336,0.359,1.324
e_PS,ak,Ak03,0.841,0.927,1.201,0.22,0.237,1.296
e_PS,ak,Ak01,1.521,1.792,1.403,0.514,0.287,0.783
e_PS,ak,Ak01,1.148,1.382,1.208,0.342,0.247,0.874
e_PS,ak,Ak01,1.504,1.479,1.273,0.378,0.256,0.861
e_PS,ak,Ak05,0.44,0.52,1.017,0.236,0.454,1.956
e_PS,ak,Ak05,0.407,0.46,1.15,0.206,0.448,2.5
e_PS,ak,Ak05,0.242,0.369,0.762,0.134,0.363,2.065
e_PS,ak,Ak08,0.432,0.703,0.792,0.218,0.31,1.127
e_PS,ak,Ak08,0.405,0.609,0.745,0.202,0.332,1.223
e_PS,ak,Ak08,0.487,0.817,0.728,0.29,0.355,0.891
f_PP,ak,Ak01,0.825,1.069,1.211,0.232,0.217,1.133
f_PP,ak,Ak01,0.915,1.004,0.997,0.266,0.265,0.993
f_PP,ak,Ak03,1.167,0.947,1.378,0.35,0.37,1.455
f_PP,ak,Ak03,0.737,0.616,1.304,0.197,0.32,2.117
f_PP,ak,Ak03,1.312,1.119,1.391,0.408,0.365,1.243
f_PP,ak,Ak03,1.426,1.199,1.322,0.338,0.282,1.103
f_PP,ak,Ak01,1.633,1.703,1.187,0.175,0.103,0.697
f_PP,ak,Ak04,0.534,0.66,1.109,0.237,0.359,1.68
f_PP,ak,Ak04,0.77,1.148,0.932,0.418,0.364,0.812
f_PP,ak,Ak04,0.642,0.828,0.968,0.202,0.244,1.169
f_PP,ak,Ak05,0.282,0.411,0.752,0.145,0.353,1.83
f_PP,ak,Ak05,0.347,0.559,0.868,0.197,0.352,1.553
f_PP,ak,Ak05,0.444,0.612,0.92,0.119,0.194,1.503
f_PP,ak,Ak05,0.364,0.566,0.906,0.231,0.408,1.601
f_PP,ak,Ak08,0.764,0.891,0.987,0.367,0.412,1.108
f_PP,ak,Ak08,0.983,1.101,0.963,0.376,0.342,0.875
d_PC,ak,WPP020,0.532,0.688,1.051,0.243,0.353,1.528
d_PC,ak,WPP020,0.887,0.861,0.945,0.358,0.416,1.098
d_PC,ak,WPP020,0.987,1.023,1.243,0.347,0.339,1.215
d_PC,ak,Ak03,0.965,1.032,1.08,0.186,0.18,1.047
d_PC,ak,Ak03,0.413,0.625,0.906,0.212,0.339,1.45
d_PC,ak,Ak03,0.781,0.788,1.15,0.169,0.214,1.459
d_PC,ak,Ak01,1.23,1.553,1.035,0.566,0.364,0.666
d_PC,ak,Ak01,0.816,0.979,0.866,0.409,0.418,0.885
d_PC,ak,Ak01,0.821,1.437,0.926,0.429,0.299,0.644
d_PC,ak,Ak05,0.247,0.436,0.737,0.141,0.323,1.69
d_PC,ak,Ak05,0.368,0.471,0.982,0.142,0.301,2.085
d_PC,ak,Ak05,0.279,0.348,0.934,0.147,0.422,2.684
d_PC,ak,Ak08,0.603,0.869,0.956,0.313,0.36,1.1
d_PC,ak,Ak08,0.613,0.749,0.984,0.348,0.465,1.314
d_PC,ak,Ak08,0.427,0.779,0.742,0.277,0.356,0.953
